instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-tiw56n54_150,837945,c_and_w,first,['transpose'],16055,8.3e-05,
N-tiw56n54_150,837945,random,first,['exchange'],250667,1.80488,
N-tiw56n54_150,837945,c_and_w,first,['exchange'],174421,1.43088,
N-tiw56n54_150,837945,random,first,['insert'],239825,0.668813,
N-tiw56n54_150,837945,c_and_w,first,['insert'],163656,0.823772,
N-tiw56n54_150,837945,random,best,['transpose'],17100,0.000236,
N-tiw56n54_150,837945,c_and_w,best,['transpose'],21910,0.000246,
N-tiw56n54_150,837945,random,best,['exchange'],245369,0.424244,
N-tiw56n54_150,837945,c_and_w,best,['exchange'],162375,0.307176,
N-tiw56n54_150,837945,random,best,['insert'],248853,0.770498,
N-tiw56n54_150,837945,c_and_w,best,['insert'],165382,0.703875,
N-tiw56n58_150,1155392,random,first,['transpose'],28806,0.000138,
N-tiw56n58_150,1155392,c_and_w,first,['transpose'],18861,7.1e-05,
N-tiw56n58_150,1155392,random,first,['exchange'],411323,1.45802,
N-tiw56n58_150,1155392,c_and_w,first,['exchange'],224007,1.6543,
N-tiw56n58_150,1155392,random,first,['insert'],424381,0.744796,
N-tiw56n58_150,1155392,c_and_w,first,['insert'],203998,0.693738,
N-tiw56n58_150,1155392,random,best,['transpose'],45640,0.000323,
N-tiw56n58_150,1155392,c_and_w,best,['transpose'],16898,0.000197,
N-tiw56n58_150,1155392,random,best,['exchange'],408730,0.369029,
N-tiw56n58_150,1155392,c_and_w,best,['exchange'],202995,0.346469,
N-tiw56n58_150,1155392,random,best,['insert'],413466,0.74373,
N-tiw56n58_150,1155392,c_and_w,best,['insert'],221803,0.576888,
N-tiw56n62_150,1626921,random,first,['transpose'],40848,0.000114,
N-tiw56n62_150,1626921,c_and_w,first,['transpose'],37614,0.000104,
N-tiw56n62_150,1626921,random,first,['exchange'],556790,2.19944,
N-tiw56n62_150,1626921,c_and_w,first,['exchange'],326216,1.52827,
N-tiw56n62_150,1626921,random,first,['insert'],537063,0.681949,
N-tiw56n62_150,1626921,c_and_w,first,['insert'],311314,0.845633,
N-tiw56n62_150,1626921,random,best,['transpose'],36471,0.00025,
N-tiw56n62_150,1626921,c_and_w,best,['transpose'],36384,0.00021,
N-tiw56n62_150,1626921,random,best,['exchange'],546577,0.397077,
N-tiw56n62_150,1626921,c_and_w,best,['exchange'],313786,0.426801,
N-tiw56n62_150,1626921,random,best,['insert'],535201,0.84547,
N-tiw56n62_150,1626921,c_and_w,best,['insert'],331165,0.763289,
N-tiw56n66_150,2107619,random,first,['transpose'],46310,0.000114,
N-tiw56n66_150,2107619,c_and_w,first,['transpose'],32571,9.7e-05,
N-tiw56n66_150,2107619,random,first,['exchange'],729282,2.07312,
N-tiw56n66_150,2107619,c_and_w,first,['exchange'],425858,1.71839,
N-tiw56n66_150,2107619,random,first,['insert'],718450,0.588362,
N-tiw56n66_150,2107619,c_and_w,first,['insert'],406551,0.710084,
N-tiw56n66_150,2107619,random,best,['transpose'],66053,0.000252,
N-tiw56n66_150,2107619,c_and_w,best,['transpose'],52236,0.000577,
N-tiw56n66_150,2107619,random,best,['exchange'],730564,0.417535,
N-tiw56n66_150,2107619,c_and_w,best,['exchange'],390931,0.403059,
N-tiw56n66_150,2107619,random,best,['insert'],730910,0.753802,
N-tiw56n66_150,2107619,c_and_w,best,['insert'],434981,0.814767,
N-tiw56n67_150,2372926,random,first,['transpose'],12154,8e-05,
N-tiw56n67_150,2372926,c_and_w,first,['transpose'],19830,8.4e-05,
