algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,best,['exchange'],c_and_w,N-be75eec_150,948913,3346308,0.06186,
vnd,best,['insert'],random,N-be75eec_150,948913,3369650,0.123653,
vnd,best,['insert'],c_and_w,N-be75eec_150,948913,3381254,0.139747,
vnd,first,['transpose'],random,N-be75eec_150,9396044,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,9396044,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,9396044,3396593,0.376656,
vnd,first,['exchange'],c_and_w,N-be75eec_150,9396044,3379429,0.277062,
vnd,first,['insert'],random,N-be75eec_150,9396044,3328604,0.14187,
vnd,first,['insert'],c_and_w,N-be75eec_150,9396044,3333196,0.145267,
vnd,best,['transpose'],random,N-be75eec_150,9396044,2182589,2.5e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,9396044,2660170,8e-05,
vnd,best,['exchange'],random,N-be75eec_150,9396044,3373535,0.072159,
vnd,best,['exchange'],c_and_w,N-be75eec_150,9396044,3346308,0.073114,
vnd,best,['insert'],random,N-be75eec_150,9396044,3369650,0.129278,
vnd,best,['insert'],c_and_w,N-be75eec_150,9396044,3381254,0.137367,
vnd,first,['transpose'],random,N-be75eec_150,9642140,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,9642140,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,9642140,3396593,0.349633,
vnd,first,['exchange'],c_and_w,N-be75eec_150,9642140,3379429,0.299888,
vnd,first,['insert'],random,N-be75eec_150,9642140,3328604,0.13071,
vnd,first,['insert'],c_and_w,N-be75eec_150,9642140,3333196,0.148816,
vnd,best,['transpose'],random,N-be75eec_150,9642140,2182589,6.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,9642140,2660170,7.4e-05,
vnd,best,['exchange'],random,N-be75eec_150,9642140,3373535,0.069407,
vnd,best,['exchange'],c_and_w,N-be75eec_150,9642140,3346308,0.056623,
vnd,best,['insert'],random,N-be75eec_150,9642140,3369650,0.123798,
